Brand;Material;Variant;Color,hex
Jayo;PLA+;2.0;PLA+2.0 Sakura Rosa;#FF66CC
Jayo;PLA+;2.0;PLA+2.0 Schokolade;
Jayo;PETG;Matt High Speed;Matt PETG Schwarz;#000000
Jayo;PETG;Matt High Speed;Matt PETG Weiß;#FFFFFF
Jayo;PETG;Matt High Speed;Matt PETG Grau;#9E9E9E
Jayo;PETG;Matt High Speed;Matt PETG Rot;#E53935
Jayo;PETG;Matt High Speed;Matt PETG Blau;#1E88E5
Jayo;PETG;Matt High Speed;Matt PETG Grün;#43A047
Jayo;PETG;Matt High Speed;Matt PETG Orange;#FB8C00
Jayo;PETG;Matt High Speed;Matt PETG Gelb;#FDD835
Jayo;PETG;Matt High Speed;Matt PETG Rosa;#FF66CC
Jayo;PETG;Matt High Speed;Matt PETG Himmelblau;#1E88E5
Jayo;PETG;Matt High Speed;Matt PETG Mintgrün;#43A047
Jayo;PETG;Glow in the Dark;Glow In The Dark Blau;#1E88E5
Jayo;PETG;Glow in the Dark;Glow In The Dark Grün;#43A047
Jayo;PETG;Glow in the Dark;Glow In The Dark Rot;#E53935
Jayo;PETG;Glow in the Dark;Glow In The Dark Gelb;#FDD835
Jayo;PETG;Glow in the Dark;PETG Weiß bis Blau;#FFFFFF
Jayo;PETG;Glow in the Dark;PETG Weiß bis Grün;#FFFFFF
Jayo;PLA;Marmor High Speed;Schattensturm Marmorselected;
Jayo;PLA;Marmor High Speed;Aschenbeton Marmor;
Jayo;PLA;Marmor High Speed;Oreo Marmor;
Jayo;PLA;Marmor High Speed;Ziegelroter Marmor;#E53935
Jayo;PLA;Marmor High Speed;Kastanienbraun Marmor;#6D4C41
Jayo;PLA;Marmor High Speed;Waldgrüner Marmor;#43A047
Jayo;PLA;Matt High Speed;PLA Matt High Speed Schwarz;#000000
Jayo;PLA;Matt High Speed;PLA High Speed Weiß;#FFFFFF
Jayo;PLA;Matt High Speed;PLA High Speed Grau;#9E9E9E
Jayo;PLA+;High Speed;PLA+ High Speed Schwarz;#000000
Jayo;PLA+;High Speed;PLA+ High Speed Weiß;#FFFFFF
Jayo;PLA+;High Speed;PLA+ High Speed Grau;#9E9E9E
Jayo;PLA+;High Speed;PLA+ High Speed Rot;#E53935
Jayo;PLA+;High Speed;PLA+ High Speed Blau;#1E88E5
Jayo;PLA+;High Speed;PLA+ High Speed Grün;#43A047
Jayo;PLA+;High Speed;PLA+ High Speed Olivgrün;#43A047
Jayo;PLA+;High Speed;PLA+ High Speed Orange;#FB8C00
Jayo;PLA+;High Speed;PLA+ High Speed Gelb;#FDD835
Jayo;PLA+;High Speed;PLA+ High Speed Rosa;#FF66CC
Bambu Lab;PLA;Basic;Jade-Weiß (10100);#FFFFFF
Bambu Lab;PLA;Basic;Beige (10201);#F5F5DC
Bambu Lab;PLA;Basic;Gelb (10400);#FDD835
Bambu Lab;PLA;Basic;Sonnenblumen-Gelb (10402);#FDD835
Bambu Lab;PLA;Basic;Gold (10401);#D4AF37
Bambu Lab;PLA;Basic;Kürbis-Orange (10301);#FB8C00
Bambu Lab;PLA;Basic;Orange (10300);#FB8C00
Bambu Lab;PLA;Basic;Hellgrün (10503);#43A047
Bambu Lab;PLA;Basic;Bambusgrün (10501);#43A047
Bambu Lab;PLA;Basic;Mistelzweig-Grün (10502);#43A047
Bambu Lab;PLA;Basic;Pink (10203);#FF66CC
Bambu Lab;PLA;Basic;Heißes Pink (10204);#FF66CC
Bambu Lab;PLA;Basic;Magenta (10202);
Bambu Lab;PLA;Basic;Rot (10200);#E53935
Bambu Lab;PLA;Basic;Kastanienrot (10205);#E53935
Bambu Lab;PLA;Basic;Lila (10700);#8E24AA
Bambu Lab;PLA;Basic;Indigo-Violett (10701);
Bambu Lab;PLA;Basic;Türkis ( 10605);
Bambu Lab;PLA;Basic;Cyan (10603);
Bambu Lab;PLA;Basic;Kobaltblau (10604);#1E88E5
Bambu Lab;PLA;Basic;Blau (10601);#1E88E5
Bambu Lab;PLA;Basic;Braun (10800);#6D4C41
Bambu Lab;PLA;Basic;Kakaobraun (10802);#6D4C41
Bambu Lab;PLA;Basic;Bronze (10801);
Bambu Lab;PLA;Basic;Hellgrau (10104);#9E9E9E
Bambu Lab;PLA;Basic;Grau (10103);#9E9E9E
Bambu Lab;PLA;Basic;Silber (10102);
Bambu Lab;PLA;Basic;Blue Grey (10602);#1E88E5
Bambu Lab;PLA;Basic;Dunkelgrau (10105);#9E9E9E
Bambu Lab;PLA;Basic;Schwarz (10101);#000000
Bambu Lab;PLA ;Matte;Elfenbeinweiß (11100);#FFFFFF
Bambu Lab;PLA ;Matte;Knochenweiß (11103) ;#FFFFFF
Bambu Lab;PLA ;Matte;Zitronengelb (11400);#FDD835
Bambu Lab;PLA ;Matte;Mandarine-Orange (11300);#FB8C00
Bambu Lab;PLA ;Matte;Flieder-Violett (11700);
Bambu Lab;PLA ;Matte;Sakura-Pink (11201);#FF66CC
Bambu Lab;PLA ;Matte;Pflaume (11204);
Bambu Lab;PLA ;Matte;Scharlachrot (11200);#E53935
Bambu Lab;PLA ;Matte;Dunkelrot (11202);#E53935
Bambu Lab;PLA ;Matte;Apfelgrün (11502);#43A047
Bambu Lab;PLA ;Matte;Grasgrün (11500);#43A047
Bambu Lab;PLA ;Matte;Dunkelgrün (11501);#43A047
Bambu Lab;PLA ;Matte;Himmelblau (11603);#1E88E5
Bambu Lab;PLA ;Matte;Marineblau (11600);#1E88E5
Bambu Lab;PLA ;Matte;Dunkelblau (11602);#1E88E5
Bambu Lab;PLA ;Matte;Milchkaffee-Braun (11800);#6D4C41
Bambu Lab;PLA ;Matte;Karamell (11803);
Bambu Lab;PLA ;Matte;Terrakotta (11203);
Bambu Lab;PLA ;Matte;Dunkelbraun (11801);#6D4C41
Bambu Lab;PLA ;Matte;Dunkel-Schokoladenbraun (11802);#6D4C41
Bambu Lab;PLA ;Matte;Aschgrau (11102);#9E9E9E
Bambu Lab;PLA ;Matte;Nardo-Grau (11104);#9E9E9E
Bambu Lab;PLA ;Matte;Kohlschwarz (11101);#000000
Bambu Lab;PLA;Silk+;Titangrau (13108);#9E9E9E
Bambu Lab;PLA;Silk+;Gold-Rosa (13206);#FF66CC
Bambu Lab;PLA;Silk+;Babyblau (13603);#1E88E5
Bambu Lab;PLA;Silk+;Champagner (13404);
Bambu Lab;PLA;Silk+;Minze (13507);
Bambu Lab;PLA;Silk+;Candy-Rot (13205);#E53935
Bambu Lab;PLA;Silk+;Candy-Grün (13506);#43A047
Bambu Lab;PLA;Silk+;Blau (13604);#1E88E5
Bambu Lab;PLA;Silk+;Lila (13702);#8E24AA
Bambu Lab;PLA;Silk+;Pink (13207);#FF66CC
Bambu Lab;PLA;Silk+;Weiß (13110);#FFFFFF
Bambu Lab;PLA;Silk+;Silber (13109);
Bambu Lab;PLA;Silk+;Gold (13405);#D4AF37
Bambu Lab;PETG;Translucent;Durchsichtiges Türkis (32501);
Bambu Lab;PETG;Translucent;Durchsichtiges Hellblau (32600);#1E88E5
Bambu Lab;PETG;Translucent;Klar (32101);
Bambu Lab;PETG;Translucent;Durchsichtiges Pink (32200);#FF66CC
Bambu Lab;PETG;Translucent;Durchsichtiges Olivgrün (32500);#43A047
Bambu Lab;PETG;Translucent;Durchsichtiges Orange (32300);#FB8C00
Bambu Lab;PETG;Translucent;Durchsichtiges Lila (32700);#8E24AA
Bambu Lab;PETG;Translucent;Durchsichtiges Braun (32800);#6D4C41
Bambu Lab;PETG;Translucent;Durchsichtiges Grau (32100);#9E9E9E
Bambu Lab;ABS;;Silver (40102);#C0C0C0
Bambu Lab;ABS;;Black (40101);#000000
Bambu Lab;ABS;;White (40100);#FFFFFF
Bambu Lab;ABS;;Bambu Green (40500);#43A047
Bambu Lab;ABS;;Blue (40600);#1E88E5
Bambu Lab;ABS;;Azure (40601);
Bambu Lab;ABS;;Tangerine Yellow (40402);#FDD835
Bambu Lab;ABS;;Navy Blue (40602);#1E88E5
Bambu Lab;ABS;;Red (40200);#E53935
Bambu Lab;PETG;HF;Rot (33200);#E53935
Bambu Lab;PETG;HF;Blau (33600);#1E88E5
Bambu Lab;PETG;HF;Schwarz (33102);#000000
Bambu Lab;PETG;HF;Weiß (33100);#FFFFFF
Bambu Lab;PETG;HF;Grau (33101);#9E9E9E
Bambu Lab;PETG;HF;Gelb (33400);#FDD835
Bambu Lab;PETG;HF;Orange (33300);#FB8C00
Bambu Lab;PETG;HF;Grün (33500);#43A047
Bambu Lab;PETG;HF;Dunkelgrau (331039);#9E9E9E
Bambu Lab;PETG;HF;Creme (33401);
Bambu Lab;PETG;HF;Limettengrün (33501);#43A047
Bambu Lab;PETG;HF;Seeblau (33601);#1E88E5
Geeetech;PLA;;PLA Purple;#8E24AA
Geeetech;PLA;;PLA Water Blue;#1E88E5
Geeetech;PLA;;PLA Grün;#43A047
Geeetech;PLA;;PLA Rot;#E53935
Geeetech;PLA;;PLA Blue;#1E88E5
Geeetech;PLA;;Grau;#9E9E9E
Geeetech;PLA;;PLA Yellow;#FDD835
Geeetech;PLA;;PLA Brown;#6D4C41
Geeetech;PLA;;PLA Schwarz;#000000
Geeetech;PLA;;PLA Weiß;#FFFFFF
Geeetech;PLA;;Orange;#FB8C00
Geeetech;PLA;;PLA Transparency;
Geeetech;PLA;;PLA Silver;#C0C0C0
Geeetech;PLA;;PLA Apple Green;#43A047
Geeetech;PLA;;Farbverlauf;
Geeetech;PLA;;PLA Knochenweiß;#FFFFFF
Geeetech;PLA;;PLA Warmweiß;#FFFFFF
Geeetech;PLA;;PLA Hautfarbe;
Geeetech;PLA;;PLA Rosa;#FF66CC
Geeetech;PLA;;PLA Sand Gold;#D4AF37
Geeetech;PETG;;PETG Black;#000000
Geeetech;PETG;;PETG Orange;#FB8C00
Geeetech;PETG;;PETG White;#FFFFFF
Geeetech;PETG;;PETG Grey;#9E9E9E
Geeetech;PETG;;PETG Sliver;
Geeetech;PETG;;PETG Transparent;
Geeetech;PETG;;PETG Braun;#6D4C41
Geeetech;PETG;;PETG Lila;#8E24AA
Geeetech;PETG;;PETG Apfelgrün;#43A047
Geeetech;PETG;;PETG Wasser Blau;#1E88E5
Geeetech;PETG;;PETG Rosa;#FF66CC
Geeetech;PETG;;PETG Metallic-Rosa;#FF66CC
Geeetech;PETG;;PETG Metallic-Grün;#43A047
Geeetech;PETG;;PETG Green;#43A047
Geeetech;PETG;;PETG Blue;#1E88E5
Geeetech;PETG;;PETG Red;#E53935
Geeetech;PETG;;PETG Yellow;#FDD835
Geeetech;PETG;;PETG Hautfarbe;
Geeetech;PETG;;PETG Metallic-Gold;#D4AF37
Geeetech;PLA;Sparkly;Sparkly Blue;#1E88E5
Geeetech;PLA;Sparkly;Sparkly Purple;#8E24AA
Geeetech;PLA;Sparkly;Sparkly Silver;#C0C0C0
Geeetech;PLA;Silk;Silk bronze rainbow;
Geeetech;PLA;Silk;Silk PLA Rainbow;
Geeetech;PLA;Silk;Silk PLA gold;#D4AF37
Geeetech;PLA;Silk;Silk PLA copper;
Geeetech;PLA;Silk;Silk PLA Silver;#C0C0C0
Geeetech;PLA;Silk;Silk White;#FFFFFF
Geeetech;PLA;Silk;Silky sky blue;#1E88E5
Geeetech;PLA;Silk;Silk Magenta;
Geeetech;PLA;Silk;Silk Green;#43A047
Geeetech;PLA;Silk;Silk PLA Yellow;#FDD835
Geeetech;PLA;Silk;Silky Royal blue;#1E88E5
Geeetech;PLA;Silk;Silk Purple;#8E24AA
Geeetech;PLA;Silk;Silk PLA Black;#000000
Geeetech;PLA;Silk;Silk Gold & Silver & Copper ;#D4AF37
Geeetech;PLA;Silk;Silk Blue & Purple & Black;#000000
Geeetech;PLA;Silk;Silk Licht Regenbogen;
Geeetech;PLA;Silk;Silk bronze;
Geeetech;PLA;Silk;Silk Red & Yellow & Blue;#E53935
Geeetech;PLA;Silk;Seide Orange & Blau & Grün;#1E88E5
Geeetech;PLA;Silk;Seide Rot & Gold & Lila;#E53935
Geeetech;PLA;Silk;Seide Gold & Silber & Kupfer;#D4AF37
Geeetech;PLA;Silk;Seide Rot & Blau & Grün;#E53935
Geeetech;PLA;Silk;Seide Rot & Gold & Schwarz;#000000
Geeetech;PLA;Silk;Seide Lila & Gold & Schwarz;#000000
Geeetech;PLA;Silk;Seide Gold & Kupfer;#D4AF37
Geeetech;PLA;Silk;Seide Gold & Silber;#D4AF37
Geeetech;PLA;Silk;Seide Gold & Schwarz;#000000
Geeetech;PLA;Silk;Seide Gold & Rot;#E53935
Geeetech;PLA;Silk;Seide Gold & Lila;#8E24AA
Geeetech;PLA;Silk;Seide Schwarz & Rot;#000000
Geeetech;PLA;Silk;Seide Gelb & Grün;#43A047
Geeetech;PLA;Silk;Seide Blau & Grün;#1E88E5
Geeetech;PLA;Silk;Seide Rot & Grün;#E53935
Geeetech;TPU;;TPU Blau;#1E88E5
Geeetech;TPU;;TPU Transparent Blau;#1E88E5
Geeetech;TPU;;TPU Transparent Grün;#43A047
Geeetech;TPU;;TPU Transparent Gold;#D4AF37
Geeetech;TPU;;TPU Transparent Braun;#6D4C41
Geeetech;TPU;;TPU Transparent Gelb;#FDD835
Geeetech;TPU;;TPU Black;#000000
Geeetech;TPU;;TPU White;#FFFFFF
Geeetech;TPU;;TPU Transparent;
Geeetech;TPU;;TPU Grey;#9E9E9E
Geeetech;TPU;;TPU Green;#43A047
Geeetech;TPU;;TPU Rosa;#FF66CC
Geeetech;TPU;;TPU Orange;#FB8C00
Geeetech;TPU;;TPU Lila;#8E24AA
Geeetech;TPU;;TPU Gelb;#FDD835
Geeetech;TPU;;TPU Rot;#E53935
Geeetech;TPU;;TPU Transparent Rot;#E53935
Geeetech;TPU;;TPU Transparent Lila;#8E24AA
Geeetech;TPU;;TPU Transparent Silber;
Geeetech;TPU;;TPU Transpsrent Orange;#FB8C00
Geeetech;TPU;;TPU Braun;#6D4C41
Geeetech;PLA;HS;HS-PLA Wasserblau;#1E88E5
Geeetech;PLA;HS;HS-PLA Schwarz;#000000
Geeetech;PLA;HS;HS-PLA Weiß;#FFFFFF
Geeetech;PLA;HS;HS-PLA Rot;#E53935
Geeetech;PLA;HS;HS-PLA Blau;#1E88E5
Geeetech;PLA;HS;HS-PLA Grau;#9E9E9E
Geeetech;PLA;HS;HS-PLA Transparent;
Geeetech;PLA;HS;HS-PLA Braun;#6D4C41
Geeetech;PLA;HS;HS-PLA Silber;
Geeetech;PLA;HS;HS-PLA Lila;#8E24AA
Geeetech;PLA;HS;HS-PLA Rosa;#FF66CC
Geeetech;PLA;HS;HS-PLA Orange;#FB8C00
Geeetech;PLA;HS;HS-PLA Gelb;#FDD835
Geeetech;PLA;HS;HS-PLA Grün;#43A047
Geeetech;PLA;HS;HS-PLA Apfelgrün;#43A047
Geeetech;PLA;HS;HS-PLA Hautfarbe;
Geeetech;PLA;Carbon Fiber;Carbon fiber Black;#000000
Geeetech;PLA;Carbon Fiber;Carbon Fiber Blau ;#1E88E5
Geeetech;PLA;Carbon Fiber;Carbon Fiber Matcha Grün;#43A047
Geeetech;PLA;Marmor;Marmor Blau;#1E88E5
Geeetech;PLA;Marmor;Marmor Braun;#6D4C41
Geeetech;PLA;Marmor;Marmor Grau;#9E9E9E
Geeetech;ASA;;ASA Schwarz;#000000
Geeetech;ASA;;ASA Lila;#8E24AA
Geeetech;ASA;;ASA Blau;#1E88E5
Geeetech;ASA;;ASA Grün;#43A047
Geeetech;ASA;;ASA Weiß;#FFFFFF
Geeetech;ASA;;ASA Orange;#FB8C00
Geeetech;ASA;;ASA Grau;#9E9E9E
Geeetech;PLA;Glow in the Dark;Glow Blue;#1E88E5
Geeetech;PLA;Glow in the Dark;Glow Green;#43A047
Geeetech;PLA;Glow in the Dark;Orangerot leuchten;#E53935
Geeetech;PLA;Glow in the Dark;Weiß leuchten;#FFFFFF
Geeetech;PLA;Glow in the Dark;Leuchtendes Orange-Gelb;#FDD835
Geeetech;PLA;Glow in the Dark;Lila leuchten;#8E24AA
Geeetech;PLA;Glow in the Dark;Rosarot leuchten;#E53935
Geeetech;PLA;Glow in the Dark;Leuchtende Mehrfarbigkeit;
Geeetech;PLA;Matte;PLA Matte Black;#000000
Geeetech;PLA;Matte;PLA Matte White;#FFFFFF
Geeetech;PLA;Matte;PLA Mattgrün;#43A047
Geeetech;PLA;Matte;PLA Mattblau;#1E88E5
Geeetech;PLA;Matte;PLA Mattgrau;#9E9E9E
Geeetech;PLA;Matte;Matte Hellgrau;#9E9E9E
Geeetech;PLA;Matte;Matte Dunkelgrau;#9E9E9E
Geeetech;PLA;Matte;Matte Steingrau;#9E9E9E
Geeetech;PLA;Matte;Matte Marineblau;#1E88E5
Geeetech;PLA;Matte;Matte Hautfarbe;
Geeetech;PLA;Matte;Matte Terrakotta;
Geeetech;PLA;Matte;Matte Braun;#6D4C41
Geeetech;PLA;Matte;Matte Oliver Grün;#43A047
Geeetech;PLA;Matte;PLA Matt-Orange;#FB8C00
Geeetech;ABS+;;ABS+ Schwarz;#000000
Geeetech;ABS+;;ABS+ Braun;#6D4C41
Geeetech;ABS+;;ABS+ Apfelgrün;#43A047
Geeetech;ABS+;;ABS+ Lila;#8E24AA
Geeetech;ABS+;;ABS+ Orange;#FB8C00
Geeetech;ABS+;;ABS+ Silber;
Geeetech;ABS+;;ABS+ Gelb;#FDD835
Geeetech;ABS+;;ABS+ Grün;#43A047
Geeetech;ABS+;;ABS+ Weiß;#FFFFFF
Geeetech;ABS+;;ABS+ Grau;#9E9E9E
Geeetech;ABS+;;ABS+ Blau;#1E88E5
Geeetech;ABS+;;ABS+ Rot;#E53935
Geeetech;ABS+;;ABS+ Wasser blau;#1E88E5
Geeetech;ABS+;;ABS+ Rosa;#FF66CC
Geeetech;ABS+;;ABS+ Hautfarbe;
Deeplee;PLA;;PLA Galaxie Schwarz;#000000
Deeplee;PLA;;PLA Galaxie Lila;#8E24AA
Deeplee;PLA;;PLA Schwarz;#000000
Deeplee;PLA;;PLA Weiß;#FFFFFF
Deeplee;PLA;;PLA Grau;#9E9E9E
Deeplee;PLA;;PLA Rot;#E53935
Deeplee;PLA;;PLA Gelb;#FDD835
Deeplee;PLA;;PLA Orange;#FB8C00
Deeplee;PLA;;PLA Blau;#1E88E5
Deeplee;PLA;;PLA Grün;#43A047
Deeplee;PLA;;PLA Rosa;#FF66CC
Deeplee;PLA;;PLA Lila;#8E24AA
Deeplee;PLA;;PLA Klar;
Deeplee;PLA;;PLA Himmelblau;#1E88E5
Deeplee;PLA;;PLA Seegrün;#43A047
Deeplee;PLA;;PLA Dark Grau;#9E9E9E
Deeplee;PLA;;PLA Holz;
Deeplee;PLA;;PLA Braun;#6D4C41
Deeplee;PLA;;PLA Beige;#F5F5DC
Deeplee;PLA;;PLA Wood Flour;
Deeplee;PLA;;PLA Marmor;
Deeplee;PLA;;PLA Kupfer;
Deeplee;PLA+;;PLA+ Schwarz;#000000
Deeplee;PLA+;;PLA+ Weiß;#FFFFFF
Deeplee;PLA+;;PLA+ Grau;#9E9E9E
Deeplee;PLA+;;PLA+ Rot;#E53935
Deeplee;PLA+;;PLA+ Gelb;#FDD835
Deeplee;PLA+;;PLA+ Grün;#43A047
Deeplee;PLA+;;PLA+ Blau;#1E88E5
Deeplee;PLA+;;PLA+ Orange;#FB8C00
Deeplee;PLA+;;PLA+ Himmelblau;#1E88E5
Deeplee;PLA+;;PLA+ Seegrün;#43A047
Deeplee;PLA+;;PLA+ Dark Grau;#9E9E9E
Deeplee;PLA+;;PLA+ Klar;
Deeplee;PLA+;;PLA+ Rosa;#FF66CC
Deeplee;PLA+;;PLA+ Lila;#8E24AA
Deeplee;PLA+;;PLA+ Beige;#F5F5DC
Deeplee;PLA+;;PLA+ Braun;#6D4C41
Deeplee;PLA;Rapid;Rapid PLA+ Schwarz;#000000
Deeplee;PLA;Rapid;Rapid PLA+ Weiß;#FFFFFF
Deeplee;PLA;Rapid;Rapid PLA+ Grau;#9E9E9E
Deeplee;PLA;Rapid;Rapid PLA+ Blau;#1E88E5
Deeplee;PLA;Rapid;Rapid PLA+ Grün;#43A047
Deeplee;PLA;Rapid;Rapid PLA+ Rot;#E53935
Deeplee;PLA;Rapid;Rapid PLA+ Silber;
Deeplee;PLA;Rapid;Rapid PLA+ Orange;#FB8C00
Deeplee;PLA;Rapid;Rapid PLA+ Gelb;#FDD835
Deeplee;PLA;Rapid;Rapid PLA+ Braun;#6D4C41
Deeplee;PLA;Rapid;Rapid PLA+ Beige;#F5F5DC
Deeplee;PLA;Matte;PLA Matte Schwarz;#000000
Deeplee;PLA;Matte;PLA Matte Weiß;#FFFFFF
Deeplee;PLA;Matte;PLA Matte Rubinrot;#E53935
Deeplee;PLA;Matte;PLA Matte Marineblau;#1E88E5
Deeplee;PLA;Matte;PLA Matte Blaugrün;#1E88E5
Deeplee;PLA;Matte;PLA Matte Sonnengelb;#FDD835
Deeplee;PLA;Matte;PLA Matte Schiefergrau;#9E9E9E
Deeplee;PLA;Matte;PLA Matte Lavendel Lila;#8E24AA
Deeplee;PLA;Matte;PLA Matte Sakura Rosa;#FF66CC
Deeplee;PLA;Matte;PLA Matte Eisblau;#1E88E5
Deeplee;PLA;Matte;PLA Matte Beige;#F5F5DC
Deeplee;PLA;Matte;PLA Matte Minzgrün;#43A047
Deeplee;PLA;Silk;Silk Rot Grün;#E53935
Deeplee;PLA;Silk;Silk Gold;#D4AF37
Deeplee;PLA;Silk;Silk Silber;
Deeplee;PLA;Silk;Silk Blau Violett;#1E88E5
Deeplee;PLA;Silk;Silk Korallenrosa;#FF66CC
Deeplee;PLA;Silk;Silk Mintgrün;#43A047
Deeplee;PLA;Silk;Silk Kupfer;
Deeplee;PLA;Silk;Silk Schwarz Rot;#000000
Deeplee;PLA;Silk;Silk Blau Violett Schwarz;#000000
Deeplee;PLA;Silk;Silk Blau Grün Orange;#1E88E5
Deeplee;PLA;Silk;Silk Rot;#E53935
Deeplee;PLA;Silk;Silk Stechpalmengrün;#43A047
Deeplee;PLA;Silk;Silk Schwarz Violett;#000000
Deeplee;PLA;Silk;Silk Blau Grün;#1E88E5
Deeplee;PLA;Silk;Silk Weiß;#FFFFFF
Deeplee;PETG;;PETG Schwarz;#000000
Deeplee;PETG;;PETG Weiß;#FFFFFF
Deeplee;PETG;;PETG Rot;#E53935
Deeplee;PETG;;PETG Blau;#1E88E5
Deeplee;PETG;;PETG Grün;#43A047
Deeplee;PETG;;PETG Gelb;#FDD835
Deeplee;PETG;;PETG Grau;#9E9E9E
Deeplee;PETG;;PETG Orange;#FB8C00
Deeplee;PETG;;PETG Braun;#6D4C41
Deeplee;PETG;;PETG Klar;
Deeplee;PETG;;PETG Beige;#F5F5DC
Deeplee;PETG;;PETG Himmelsgrau;#9E9E9E
Deeplee;PETG;Rapid;Rapid PETG Schwarz;#000000
Deeplee;PETG;Rapid;Rapid PETG Weiß;#FFFFFF
Deeplee;PETG;Rapid;Rapid PETG Rot;#E53935
Deeplee;PETG;Rapid;Rapid PETG Blau;#1E88E5
Deeplee;PETG;Rapid;Rapid PETG Grün;#43A047
Deeplee;PETG;Rapid;Rapid PETG Gelb;#FDD835
Deeplee;PETG;Rapid;Rapid PETG Grau;#9E9E9E
Deeplee;PETG;Rapid;Rapid PETG Orange;#FB8C00
Deeplee;PETG;Rapid;Rapid PETG Himmelsgrau;#9E9E9E
Deeplee;PETG;Rapid;Rapid PETG Braun;#6D4C41
Deeplee;PETG;Rapid;Rapid PETG Klar;
Deeplee;PETG;Rapid;Rapid PETG Beige;#F5F5DC
Deeplee;PLA;Pro;PLA Pro Schwarz;#000000
Deeplee;PLA;Pro;PLA Pro Weiß;#FFFFFF
Deeplee;PLA;Pro;PLA Pro Rot;#E53935
Deeplee;PLA;Pro;PLA Pro Blau;#1E88E5
Deeplee;PLA;Pro;PLA Pro Himmelblau;#1E88E5
Deeplee;PLA;Pro;PLA Pro Grün;#43A047
Deeplee;PLA;Pro;PLA Pro Gelb;#FDD835
Deeplee;PLA;Pro;PLA Pro Grau;#9E9E9E
Deeplee;PLA;Pro;PLA Pro Lila;#8E24AA
Deeplee;PLA;Pro;PLA Pro Silber;
Deeplee;PETG;Pro;PETG Pro Schwarz;#000000
Deeplee;PETG;Pro;PETG Pro Weiß;#FFFFFF
Deeplee;PETG;Pro;PETG Pro Grau;#9E9E9E
Deeplee;PETG;Pro;PETG Pro Rot;#E53935
Deeplee;PETG;Pro;PETG Pro Lila;#8E24AA
Deeplee;PETG;Pro;PETG Pro Transparent;
Deeplee;PETG;Pro;PETG Pro Grün;#43A047
Deeplee;PETG;Pro;PETG Pro Gelb;#FDD835
Deeplee;PETG;Pro;PETG Pro Blau;#1E88E5
Deeplee;PLA ;Basic;PLA Basic Schwarz;#000000
Deeplee;PLA ;Basic;PLA Basic Weiß;#FFFFFF
Deeplee;PLA ;Basic;PLA Basic Grau;#9E9E9E
Deeplee;PLA ;Basic;PLA Basic Beige;#F5F5DC
Deeplee;PLA ;Basic;PLA Basic Lila;#8E24AA
Deeplee;PLA ;Basic;PLA Basic Himmelblau;#1E88E5
Deeplee;PLA ;Basic;PLA Basic Heißes Rosa;#FF66CC
Deeplee;PLA ;Basic;PLA Basic Sonnenblumengelb;#FDD835
Deeplee;PLA ;Basic;PLA Basic Braun;#6D4C41
Deeplee;PLA ;Basic;PLA Basic Türkis;
Deeplee;PLA ;Basic;PLA Basic Grün;#43A047
Deeplee;PLA ;Basic;PLA Basic Rosa;#FF66CC
Deeplee;PLA ;Basic;PLA Basic Transparent;
Deeplee;PLA ;Basic;PLA Basic Blau Grau;#1E88E5
Deeplee;PLA ;Basic;PLA Basic Grasgrün;#43A047
Deeplee;PLA;Pro 2.0;PLA Pro 2.0 Schwarz;#000000
Deeplee;PLA;Pro 2.0;PLA Pro 2.0 Gelb;#FDD835
Deeplee;PLA;Pro 2.0;PLA Pro 2.0 Rot;#E53935
Deeplee;PLA;Pro 2.0;PLA Pro 2.0 Blau;#1E88E5
Deeplee;PLA;Pro 2.0;PLA Pro 2.0 Lila;#8E24AA
Deeplee;PLA;Pro 2.0;PLA Pro 2.0 Himmelblau;#1E88E5
Deeplee;PLA;Pro 2.0;PLA Pro 2.0 Heißes Rosa;#FF66CC
Deeplee;PLA;Pro 2.0;PLA Pro 2.0 Sonnenblumengelb;#FDD835
Deeplee;PLA;Pro 2.0;PLA Pro 2.0 Braun;#6D4C41
Deeplee;PLA;Pro 2.0;PLA Pro 2.0 Türkis;
Deeplee;PLA;Pro 2.0;PLA Pro 2.0 Grün;#43A047
Deeplee;PLA;Pro 2.0;PLA Pro 2.0 Weiß;#FFFFFF
Deeplee;PLA;Pro 2.0;PLA Pro 2.0 Grau;#9E9E9E
Deeplee;PLA;Pro 2.0;PLA Pro 2.0 Beige;#F5F5DC
Deeplee;PLA;Pro 2.0;PLA Pro 2.0 Rosa;#FF66CC
Deeplee;PLA;Pro 2.0;PLA Pro 2.0 Transparent;
Deeplee;PLA;Pro 2.0;PLA Pro 2.0 Blau Grau;#1E88E5
Elegoo;PLA;;Schwarz;#000000
Elegoo;PLA;;Weiß;#FFFFFF
Elegoo;PLA;;Grau;#9E9E9E
Elegoo;PLA;;Grün;#43A047
Elegoo;PLA;;Blau;#1E88E5
Elegoo;PLA;;Rot;#E53935
Elegoo;PLA;;Gelb;#FDD835
Elegoo;PLA;;Orange;#FB8C00
Elegoo;PLA;;Rosa;#FF66CC
Elegoo;PLA;;Lila;#8E24AA
Elegoo;PLA;;Transparent;
Elegoo;PLA;;Himmelblau;#1E88E5
Elegoo;PLA;;Meergrün;#43A047
Elegoo;PLA;;Raumgrau;#9E9E9E
Elegoo;PLA;;Holzfarbe;
Elegoo;PLA;;Braun;#6D4C41
Elegoo;PLA;;Beige;#F5F5DC
